lat,lng,loc
23.00119,120.16189,A8
22.98569,120.16555,B5
23.00226,120.1658,B8
22.99087,120.17216,C6
22.99977,120.17372,C7
23.00039,120.17264,C8
23.01855,120.17822,D11
22.98745,120.17947,D5
22.99296,120.17812,D6
22.99932,120.17781,D7
23.00261,120.17835,D8
23.00681,120.17926,D9
23.01109,120.18334,E10
22.98962,120.18308,E5
22.99303,120.18284,E6
22.99936,120.18253,E7
23.00305,120.1825,E8
23.00646,120.18307,E9
22.96263,120.18666,F0
22.96966,120.18502,F1
23.01203,120.18805,F10
23.01535,120.18895,F11
22.98226,120.1876,F4
22.98892,120.18817,F5
22.9926,120.18847,F6
22.99758,120.18778,F7
23.00342,120.18818,F8
23.00736,120.18654,F9
23.01307,120.19299,G10
23.01647,120.19369,G11
22.97793,120.19139,G3
22.98249,120.19141,G4
22.9891,120.19296,G5
22.99268,120.19332,G6
22.99698,120.19248,G7
23.00268,120.19299,G8
23.00742,120.19233,G9
22.96334,120.19758,H0
22.96914,120.19738,H1
23.01179,120.19773,H10
23.01699,120.1983,H11
23.02016,120.19939,H12
22.97413,120.19769,H2
22.9777,120.19776,H3
22.98342,120.19855,H4
22.98883,120.19774,H5
22.99252,120.19727,H6
22.99739,120.19769,H7
23.00186,120.19801,H8
23.00825,120.19818,H9
23.01171,120.20194,I10
23.01752,120.20154,I11
23.02061,120.20178,I12
23.02757,120.20458,I13
22.97895,120.20192,I3
22.98294,120.20368,I4
22.98745,120.20262,I5
22.99261,120.20231,I6
22.99756,120.2027,I7
23.00246,120.20203,I8
23.00884,120.20237,I9
23.0122,120.20787,J10
23.01765,120.20771,J11
23.02059,120.20808,J12
22.97733,120.20933,J3
22.98297,120.20753,J4
22.98833,120.20784,J5
22.99282,120.20744,J6
22.99748,120.20648,J7
23.00196,120.20728,J8
23.00776,120.2072,J9
23.01278,120.21235,K10
23.01681,120.21181,K11
23.02039,120.21091,K12
23.02798,120.21098,K13
22.97388,120.21451,K2
22.97808,120.21392,K3
22.98269,120.21286,K4
22.98815,120.21248,K5
22.99318,120.21227,K6
22.99739,120.21234,K7
23.00242,120.21274,K8
23.00716,120.21186,K9
22.96471,120.21682,L0
22.96817,120.21604,L1
23.01255,120.21734,L10
23.01683,120.21752,L11
22.97336,120.21822,L2
22.97825,120.21855,L3
22.98229,120.21816,L4
22.98727,120.2177,L5
22.99295,120.21751,L6
22.99613,120.21741,L7
23.00227,120.21849,L8
23.00778,120.21828,L9
22.9648,120.22467,M0
22.96719,120.22288,M1
23.01128,120.2235,M10
23.01771,120.22169,M11
22.97399,120.22168,M2
22.97763,120.22246,M3
22.98262,120.2218,M4
22.98737,120.22289,M5
22.99188,120.22214,M6
22.99676,120.22148,M7
23.00303,120.22285,M8
23.00757,120.22241,M9
22.96255,120.22836,N0
22.96773,120.22751,N1
23.01071,120.22591,N10
23.01729,120.2271,N11
22.97247,120.2272,N2
22.97831,120.22739,N3
22.98197,120.22744,N4
22.98873,120.228,N5
22.99156,120.2276,N6
22.99807,120.22808,N7
23.00189,120.22668,N8
23.00704,120.22745,N9
22.96261,120.23244,O0
22.96786,120.23192,O1
22.97227,120.23199,O2
22.9774,120.23223,O3
22.98381,120.23241,O4
22.98709,120.23266,O5
22.99232,120.23279,O6
22.99708,120.23298,O7
23.00039,120.23193,O8
23.00616,120.23081,O9
22.96285,120.23614,P0
22.96826,120.23654,P1
22.97184,120.23705,P2
22.97705,120.23687,P3
22.98303,120.23739,P4
22.98697,120.23787,P5
22.99186,120.23615,P6
22.9965,120.23652,P7
23.00073,120.2377,P8
23.00758,120.23685,P9
22.96079,120.24086,Q0
22.97362,120.24254,Q2
22.97859,120.2443,Q3
22.98294,120.24225,Q4
22.98695,120.24199,Q5
22.99094,120.24321,Q6
23.00363,120.24019,Q8
23.00934,120.24167,Q9
23.01486,120.24864,R10
22.97144,120.24575,R2
22.97782,120.24642,R3
22.98244,120.2462,R4
22.9876,120.24616,R5
22.99018,120.24718,R6
23.05603,120.29613,out_of_range
