lat,lng,loc
22.99436,120.17556,D6
23.00141,120.1767,D8
23.0066,120.17894,D9
23.01136,120.18392,E10
22.98962,120.18201,E5
22.99929,120.18238,E7
23.00232,120.18254,E8
23.00563,120.18322,E9
22.9637,120.18657,F0
23.01277,120.1885,F10
22.98898,120.18785,F5
22.99222,120.18768,F6
22.99723,120.18881,F7
23.0025,120.18812,F8
23.00721,120.18613,F9
23.01429,120.19331,G10
23.01579,120.19351,G11
22.98305,120.19161,G4
22.98916,120.19352,G5
22.99357,120.1932,G6
22.99654,120.19169,G7
23.00281,120.19262,G8
23.00908,120.19338,G9
22.96932,120.19773,H1
23.01259,120.19605,H10
23.01905,120.19973,H11
22.97396,120.19771,H2
22.97686,120.19766,H3
22.98383,120.19923,H4
22.98803,120.19811,H5
22.99364,120.19737,H6
22.99713,120.19784,H7
23.00138,120.19694,H8
23.0062,120.19671,H9
23.01252,120.2016,I10
23.01699,120.20269,I11
23.02023,120.20077,I12
22.98269,120.20371,I4
22.9881,120.20124,I5
22.99249,120.20248,I6
22.99795,120.20262,I7
23.00164,120.20147,I8
23.00558,120.20147,I9
23.01113,120.20795,J10
23.01838,120.20831,J11
23.02161,120.20664,J12
22.98339,120.20696,J4
22.98621,120.20807,J5
22.99401,120.20875,J6
22.9962,120.20877,J7
23.00153,120.2072,J8
23.00672,120.2067,J9
23.01317,120.21258,K10
23.01637,120.21213,K11
23.02121,120.21115,K12
22.97201,120.21409,K2
22.97928,120.21364,K3
22.98241,120.21179,K4
22.98896,120.21239,K5
22.99356,120.21166,K6
22.99738,120.21142,K7
23.00304,120.21258,K8
23.00733,120.21274,K9
22.96846,120.21604,L1
23.01193,120.21627,L10
23.01743,120.21812,L11
22.97422,120.21929,L2
22.97768,120.21865,L3
22.98224,120.21816,L4
22.9884,120.21821,L5
22.99281,120.21798,L6
22.99663,120.21728,L7
23.00226,120.21879,L8
23.0063,120.21852,L9
23.01093,120.22386,M10
23.01871,120.22207,M11
23.02151,120.22141,M12
22.9742,120.22084,M2
22.97694,120.22246,M3
22.98248,120.22162,M4
22.9864,120.22267,M5
22.9929,120.22154,M6
22.99647,120.22159,M7
23.00293,120.22127,M8
23.00782,120.22173,M9
22.96193,120.22781,N0
22.9686,120.22692,N1
23.01115,120.22566,N10
22.97176,120.22717,N2
22.9774,120.22673,N3
22.9826,120.22698,N4
22.98879,120.22802,N5
22.99152,120.22757,N6
22.99878,120.22864,N7
23.00152,120.22568,N8
23.00725,120.22678,N9
22.96232,120.23352,O0
22.96695,120.23204,O1
22.97232,120.23253,O2
22.97817,120.23398,O3
22.98453,120.23302,O4
22.98695,120.23317,O5
22.99194,120.23191,O6
22.99706,120.23299,O7
23.00137,120.23116,O8
22.96366,120.23562,P0
22.96935,120.23595,P1
22.97656,120.23602,P3
22.98302,120.23647,P4
22.98824,120.23577,P5
22.99029,120.23631,P6
22.99852,120.23742,P7
22.98364,120.24344,Q4
22.98679,120.24185,Q5
22.97654,120.2476,R3
22.98584,120.24721,R5
22.99013,120.24626,R6
23.09832,120.28576,out_of_range
